Building IRN,Building Name,District IRN,District Name,County,Region,Address,City and Zip Code,Phone #,Principal,Performance Index Score 2016-17,Performance Index Percent 2016-17,Letter Grade of Performance Index,Percent of Students Not Tested,Percent of Students Below,Percent of Students Basic,Percent of Students Proficient,Percent of Students Accelerated,Percent of Students Advanced,Percent of Students Advanced Plus,Gifted Performance Index Score 2016-17,Gifted Performance Index 2016-17,Percent of Gifted Students Not Tested,Percent of Gifted Students Below,Percent of Gifted Students Basic,Percent of Gifted Students Proficient,Percent of Gifted Students Accelerated,Percent of Gifted Students Advanced,Percent of Gifted Students Advanced Plus,Performance Index Score 2015-16,Performance Index Score 2014-15,Watermark,,
15722,Village Preparatory School Willard,43786,Cleveland Municipal,Cuyahoga,Region 3,9401 Willard Ave,"Cleveland, OH, 44102-3706",(216) 586-3892,Cherrelle D. Turner,NC,NC,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,,15722
15736,iLEAD Spring Meadows,15736,iLEAD Spring Meadows,Lucas,Region 1,1615 Timber Wolf Dr,"Holland, OH, 43528-8304",(419) 491-7423,,74.333,61.9,D,0,23.3,28.3,33.3,10,5,0,0,0,0,0,0,0,0,0,0,NC,NC,,,15736
15737,Global Ambassadors Language Academy,15737,Global Ambassadors Language Academy,Cuyahoga,Region 3,13442 Lorain Ave,"Cleveland, OH, 44111-3432",(216) 315-7942,Michael C. Salwiesz,NC,NC,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,,15737
15741,Westwood Preparatory Academy,15741,Westwood Preparatory Academy,Franklin,Region 11,"840 W. State Street, Suite 200","Columbus, OH, 43222-0000",(330) 510-5400,Christopher J. Antjas,56.197,46.8,F,0,53.5,20.4,11.3,11.3,3.5,0,0,0,0,0,0,0,0,0,0,NC,NC,,,15741
132746,Summit Acdy Comm Schl for Alternative Learners of Middletown,132746,Summit Acdy Comm Schl for Alternative Learners of Middletown,Butler,Region 13,4700 Central Ave,"Middletown, OH, 45044-5354",(513) 422-8540,Megan N. Bockelman,69.882,58.2,D,0,33.5,24.7,18.8,13.5,9.4,0,0,0,0,0,0,0,0,0,0,59.13,57.516,,,132746
132761,Summit Academy Community School Alternative Learners -Xenia,132761,Summit Academy Community School Alternative Learners -Xenia,Greene,Region 10,1694 Pawnee Dr,"Xenia, OH, 45385-4126",(937) 372-5210,Cassy M. Stidham,54.349,45.3,F,3.2,54.9,14,15.9,8.6,3.5,0,0,0,0,0,0,0,0,0,0,55.634,60.967,,,132761
132779,Summit Academy Akron Middle School,132779,Summit Academy Akron Middle School,Summit,Region 8,464 S Hawkins Ave Ste 100,"Akron, OH, 44320-1228",(330) 252-1510,Crystal J. Phillips,56.51,47.1,F,0.7,59.1,10.7,11.4,8.1,10.1,0,0,0,0,0,0,0,0,0,0,57.172,67.752,,,132779
132944,Miami Valley Academies,132944,Miami Valley Academies,Montgomery,Region 10,5656 Springboro Pike,"Dayton, OH, 45449-2806",(937) 294-4522,Marvis Meeks,57.917,48.3,F,0,50.7,20.1,16.7,10.4,2.1,0,0,0,0,0,0,0,0,0,0,56.387,63.568,,,132944
132951,Constellation Schools: Lorain Community Elementary,132951,Constellation Schools: Lorain Community Elementary,Lorain,Region 2,5983 W 54th St,"Parma, OH, 44129-3854",(440) 204-2130,Melisa R. Shady,92.966,77.5,C,0,8.9,15.7,32.6,30.9,11.9,0,0,0,0,0,0,0,0,0,0,82.877,85.225,,,132951
132969,Constellation Schools: Elyria Community,132969,Constellation Schools: Elyria Community,Lorain,Region 2,300 N Abbe Rd,"Elyria, OH, 44035-3715",(440) 366-5225,Eric J. Fortuna,90.995,75.8,C,0,10.8,17.9,30.9,23.6,16.8,0,0,0,0,0,0,0,0,0,0,84.725,85.603,,,132969
132993,Constellation Schools: Westpark Community Elementary,132993,Constellation Schools: Westpark Community Elementary,Cuyahoga,Region 3,16210 Lorain Ave,"Cleveland, OH, 44111-5521",(216) 688-0271,Sheila M. Delzani,104.419,87,B,0,2,7.6,27.9,36.2,26.2,0,0,0,0,0,0,0,0,0,0,95.987,93.503,,,132993
133215,"Intergenerational School, The",43786,Cleveland Municipal,Cuyahoga,Region 3,11327 Shaker Blvd Ste 200 E.,"Cleveland, OH, 44104-3805",(216) 721-0120,Silvia Kruger,86.595,72.2,C,0,13.8,20.6,32.5,21.5,11.7,0,0,0,0,0,0,0,0,0,0,77.213,85.926,,,133215
133256,Constellation Schools: Parma Community,133256,Constellation Schools: Parma Community,Cuyahoga,Region 3,7667 Day Dr Fl 1ST,"Parma, OH, 44129-5603",(440) 888-5490,Linda M. Geyer,82.595,68.8,D,0.3,19.2,19.8,29.5,20.2,11.1,0,0,0,0,0,0,0,0,0,0,82.507,89.811,,,133256
133280,Washington Park Community School,133280,Washington Park Community School,Cuyahoga,Region 3,4000 Washington Park Blvd,"Newburgh Heights, OH, 44105-3248",(216) 271-6055,,59.515,49.6,F,0,41.4,31.7,16.8,8.1,1.9,0,0,0,0,0,0,0,0,0,0,62.246,70.398,,,133280
133306,Summit Academy Community School for Alternative Learn-Canton,133306,Summit Academy Community School for Alternative Learn-Canton,Stark,Region 9,1620 Market Ave S,"Canton, OH, 44707-3778",(330) 458-0393,Robert E. Housel,55.992,46.7,F,0.4,53.4,19.8,14.1,7.3,5,0,0,0,0,0,0,0,0,0,0,54.364,60.321,,,133306
133322,Summit Academy Community School Alternative Learners-Lorain,133322,Summit Academy Community School Alternative Learners-Lorain,Lorain,Region 2,2140 E 36th St,"Lorain, OH, 44055-2756",(440) 277-4110,Albert J. Charpentier,68.95,57.5,D,2.2,26.5,30.9,25.4,8.8,6.1,0,0,0,0,0,0,0,0,0,0,61.955,59.528,,,133322
133330,T.C.P. World Academy,133330,T.C.P. World Academy,Hamilton,Region 13,6000 Ridge Ave,"Cincinnati, OH, 45213-1624",(513) 531-9500,Karen Y. French,91.954,76.6,C,0,9.2,18,33.7,22.4,16.6,0,0,0,0,0,0,0,0,0,0,91.245,73.156,,,133330
133348,Richard Allen Preparatory,133348,Richard Allen Preparatory,Montgomery,Region 10,627 Salem Ave,"Dayton, OH, 45406-5822",(937) 723-7721,Yolanda A. Clark,NC,NC,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,,133348
133413,Electronic Classroom Of Tomorrow,133413,Electronic Classroom Of Tomorrow,Franklin,Region 11,3700 S High St Ste 95,"Columbus, OH, 43207-4083",(614) 492-8884,Cathy A. Blankenship,55.064,45.9,F,5.6,43.9,24,18,6.6,1.8,0,0,0,0,0,0,0,0,0,0,53.975,70.745,,,133413
133421,"Graham School, The",133421,"Graham School, The",Franklin,Region 11,3950 Indianola Ave,"Columbus, OH, 43214-3158",(614) 262-1111,Gregory C. Brown,62.793,52.3,D,0,41.4,23.4,26.1,6.3,2.7,0,0,0,0,0,0,0,0,0,0,66.787,86.72,,,133421
133439,Cornerstone Academy Community School,133439,Cornerstone Academy Community School,Franklin,Region 11,6015 E Walnut St,"Westerville, OH, 43081-9620",(614) 775-0615,Natalee M. Long,90.916,75.8,C,0,10,18.7,31.9,24.7,14.7,0,0,0,0,0,0,0,0,0,0,87.51,91.737,,,133439
133454,Dayton Leadership Academies-Dayton View Campus,133454,Dayton Leadership Academies-Dayton View Campus,Montgomery,Region 10,1416 W Riverview Ave,"Dayton, OH, 45402-6217",(937) 567-9426,,48.133,40.1,F,0,61.6,23.3,10.9,3.1,1.1,0,0,0,0,0,0,0,0,0,0,47.148,70.742,,,133454
133504,Phoenix Community Learning Ctr,133504,Phoenix Community Learning Ctr,Hamilton,Region 13,3595 Washington Ave,"Cincinnati, OH, 45229-2609",(513) 351-5801,Elaine M. Wilson,51.929,43.3,F,1.5,54.4,23.3,13.5,6,1.2,0,0,0,0,0,0,0,0,0,0,73.356,77.657,,,133504
133512,Cincinnati College Preparatory Academy,133512,Cincinnati College Preparatory Academy,Hamilton,Region 13,1425 Linn St,"Cincinnati, OH, 45214-2605",(513) 684-0777,Tiffany J. Williams,65.689,54.7,D,0,34.7,29.1,23.1,9.6,3.4,0,0,0,0,0,0,0,0,0,0,60.491,79.043,,,133512
133520,Citizens Academy,43786,Cleveland Municipal,Cuyahoga,Region 3,10118 Hampden Ave,"Cleveland, OH, 44108-3538",(216) 791-4195,Kimberly A. Peterlin,79.267,66.1,D,0,20.1,23.6,34.2,16.9,5.2,0,0,0,0,0,0,0,0,0,0,75.464,84.497,,,133520
133538,"Edge Academy, The",133538,"Edge Academy, The",Summit,Region 8,92 N Union St,"Akron, OH, 44304-1347",(330) 535-4581,,68.685,57.2,D,0,32.9,25.6,26.3,11.1,4.2,0,0,0,0,0,0,0,0,0,0,66.019,75.15,,,133538
133561,Millennium Community School,133561,Millennium Community School,Franklin,Region 11,3500 Refugee Rd,"Columbus, OH, 43232-4862",(614) 255-5585,,60.012,50,D,0,44.2,25.9,20.4,6.3,3.2,0,0,0,0,0,0,0,0,0,0,53.604,60.824,,,133561
133587,Summit Academy Akron Elementary School,133587,Summit Academy Akron Elementary School,Summit,Region 8,2503 Leland Ave,"Akron, OH, 44312-2426",(330) 253-7441,Dawn R. Presley,70.345,58.6,D,0,36.8,17.8,22.4,13.8,9.2,0,0,0,0,0,0,0,0,0,0,66.452,68.49,,,133587
133629,Horizon Science Acad Cleveland,133629,Horizon Science Acad Cleveland,Cuyahoga,Region 3,6000 S Marginal Rd,"Cleveland, OH, 44103-1042",(216) 432-3660,Mehmet I. Gurbuz,61.711,51.4,D,0,35.4,35.4,22.9,5.8,0.5,0,0,0,0,0,0,0,0,0,0,58.42,87.561,,,133629
133660,Horizon Science Academy Columbus,133660,Horizon Science Academy Columbus,Franklin,Region 11,1070 Morse Rd,"Columbus, OH, 43229-6290",(614) 846-7616,Ugur Zengince,72.199,60.2,D,0,23.3,31.7,35.1,8.2,1.7,0,0,0,0,0,0,0,0,0,0,65.553,91.049,,,133660
133678,Riverside Academy,133678,Riverside Academy,Hamilton,Region 13,3280 River Rd,"Cincinnati, OH, 45204-1214",(513) 921-7777,Arnez D. Gray,60.185,50.2,D,1.4,39.7,29.1,21.7,6,2.1,0,0,0,0,0,0,0,0,0,0,52.828,58.374,,,133678
133736,Richard Allen Academy,133736,Richard Allen Academy,Montgomery,Region 10,184 Salem Ave,"Dayton, OH, 45406-5804",(937) 951-2800,Gabrielle P. Billingsley,60.76,50.6,D,0,38,33.3,22.8,4.7,1.2,0,0,0,0,0,0,0,0,0,0,53.481,75.359,,,133736
133819,Lincoln Preparatory Academy,133819,Lincoln Preparatory Academy,Cuyahoga,Region 3,4215 Robert Ave,"Cleveland, OH, 44109-1255",(216) 772-1336,Lisa L. Lyons,54.176,45.1,F,0,53.3,23.6,15.7,5.5,1.9,0,0,0,0,0,0,0,0,0,0,56.829,74.031,,,133819
133942,Toledo School For The Arts,133942,Toledo School For The Arts,Lucas,Region 1,333 14th St,"Toledo, OH, 43604-5459",(419) 246-8732,,92.464,77.1,C,0.7,7.9,15.5,38.1,26.6,11.1,0.1,113.75,94.8,0,0,0,18.8,25,56.3,0,88.36,98.068,,,133942
133959,Dayton Leadership Academies-Early Learning Academy,133959,Dayton Leadership Academies-Early Learning Academy,Montgomery,Region 10,1416 W Riverview Ave,"Dayton, OH, 45402-6217",(937) 567-9426,,NC,NC,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,,133959
134072,Youngstown Community School,134072,Youngstown Community School,Mahoning,Region 5,50 Essex St,"Youngstown, OH, 44502-1838",(330) 746-2240,Gregory M. Dobrowolski,78.782,65.7,D,0,21.1,24.9,26.6,20.1,7.4,0,NC,NC,0,0,0,25,33.3,41.7,0,73.414,81.294,,,134072
134098,Constellation Schools: Old Brooklyn Community Elementary,134098,Constellation Schools: Old Brooklyn Community Elementary,Cuyahoga,Region 3,4430 State Rd,"Cleveland, OH, 44109-4705",(216) 661-7888,Cherie Kaiser,94.903,79.1,C,0,10.7,11.7,28.9,26.9,21.4,0.3,0,0,0,0,0,0,0,0,0,87.767,95.828,,,134098
134122,Autism Model School,134122,Autism Model School,Lucas,Region 1,3020 Tremainsville Rd,"Toledo, OH, 43613-1901",(419) 897-4400,,66.333,55.3,D,0,41.3,19.3,20.7,7.3,11.3,0,NC,NC,0,0,100,0,0,0,0,63.333,69.048,,,134122
134148,Aurora Academy,134148,Aurora Academy,Lucas,Region 1,824 6th St,"Toledo, OH, 43605-1704",(419) 693-6841,,48.47,40.4,F,0.4,63.1,19.8,9,6.7,1.1,0,0,0,0,0,0,0,0,0,0,56.907,74.112,,,134148
134197,Green Inspiration Academy,134197,Green Inspiration Academy,Cuyahoga,Region 3,4265 Northfield Rd,"Highland Hills, OH, 44128-2811",(216) 378-9573,,55.376,46.1,F,0,48.5,29,15,6.1,1.4,0,0,0,0,0,0,0,0,0,0,54.858,60.923,,,134197
134213,Middlebury Academy,134213,Middlebury Academy,Summit,Region 8,88 Kent St,"Akron, OH, 44305-2544",(330) 752-2766,Alvin C. McDaniel,46.224,38.5,F,0,64.7,21.7,11.9,1.7,0,0,0,0,0,0,0,0,0,0,0,46.316,67.024,,,134213
134221,Colonial Prep Academy,134221,Colonial Prep Academy,Summit,Region 8,2199 5th St SW,"Akron, OH, 44314-2405",(330) 752-2792,Leeanna D. Simmons,56.535,47.1,F,0,48.3,26.5,18.1,4.7,2.4,0,0,0,0,0,0,0,0,0,0,46.546,69.924,,,134221
134247,City Day Community School,134247,City Day Community School,Montgomery,Region 10,320 S Main St,"Dayton, OH, 45402-2716",(937) 223-8130,Paula E. Leone,50.051,41.7,F,0,56.4,26.7,14.9,2.1,0,0,0,0,0,0,0,0,0,0,0,42.242,NC,,,134247
142943,Focus Learning Academy of Northern Columbus,123257,North Central Ohio ESC,Seneca,Region 11,1880 E Dublin Granville Rd,"Columbus, OH, 43229-3523",(614) 547-0920,Travis M. Budd,76.396,63.7,D,0,26.1,23.4,21.2,18,11.3,0,0,0,0,0,0,0,0,0,0,64.504,57.454,,,142943
142950,Ohio Virtual Academy,142950,Ohio Virtual Academy,Lucas,Region 1,1690 Woodlands Dr Ste 200,"Maumee, OH, 43537-4045",(877) 648-2512,,72.125,60.1,D,3.8,27.8,20.1,23.1,15.5,9.7,0,NC,NC,0,0,14.3,14.3,57.1,14.3,0,73.145,80.48,,,142950
142968,Hope Academy Northcoast,142968,Hope Academy Northcoast,Cuyahoga,Region 3,4310 E 71st St,"Cleveland, OH, 44105-5759",(216) 429-0232,Martin R. Ngom,47.967,40,F,0.2,61.4,23.6,10.4,3.3,1.2,0,0,0,0,0,0,0,0,0,0,50.972,50.381,,,142968
143172,International Acad Of Columbus,143172,International Acad Of Columbus,Franklin,Region 11,2439 Fuji Dr,"Columbus, OH, 43229-2847",(614) 794-0643,Mouhamed N. Tarazi,67.92,56.6,D,0,32.4,28.4,22.9,13.2,3.1,0,0,0,0,0,0,0,0,0,0,63.446,77.306,,,143172
143198,Great Western Academy,143198,Great Western Academy,Franklin,Region 11,310 N Wilson Rd,"Columbus, OH, 43204-6221",(614) 276-1028,Kathryn M. Kountz,72.218,60.2,D,0.1,29.7,23.5,27.1,13.9,5.7,0,0,0,0,0,0,0,0,0,0,68.14,76.514,,,143198
143206,Trotwood Fitness & Prep Acad,143206,Trotwood Fitness & Prep Acad,Montgomery,Region 10,3100 Shiloh Springs Rd,"Trotwood, OH, 45426-2247",(937) 854-4100,Caitlin E. Stevens,59.759,49.8,F,0,44.7,28.5,10.1,8.6,8.1,0,0,0,0,0,0,0,0,0,0,52.989,67.515,,,143206
143214,Middletown Fitness & Prep Acad,143214,Middletown Fitness & Prep Acad,Butler,Region 13,816 2nd Ave,"Middletown, OH, 45044-4201",(513) 424-6110,Eric J. Oliver,67.891,56.6,D,0,35.5,24.6,21.4,11.5,7,0,0,0,0,0,0,0,0,0,0,69.625,78.119,,,143214
143297,The Autism Academy Of Learning,143297,The Autism Academy Of Learning,Lucas,Region 1,110 Arco Dr,"Toledo, OH, 43607-2960",(419) 865-7487,James Jones,57.353,47.8,F,0,41.2,35.3,20.6,2.9,0,0,0,0,0,0,0,0,0,0,0,NC,NC,,,143297
143313,West Preparatory Academy,143313,West Preparatory Academy,Cuyahoga,Region 3,13111 Crossburn Ave,"Cleveland, OH, 44135-5017",(216) 772-1340,Jennifer E. Heyman,53.165,44.3,F,0,53.5,25.5,14,5.9,1.1,0,0,0,0,0,0,0,0,0,0,53.047,66.739,,,143313
143396,Alternative Education Academy,143396,Alternative Education Academy,Lucas,Region 1,1830 Adams St,"Toledo, OH, 43624-1428",(330) 253-8680,Dominic P. Donatelli,63.785,53.2,D,0.8,39.2,24.4,21.1,10.8,3.7,0,NC,NC,0,0,0,25,50,25,0,60.562,60.93,,,143396
143479,Constellation Schools: Puritas Community Elementary,143479,Constellation Schools: Puritas Community Elementary,Cuyahoga,Region 3,15204 Puritas Ave,"Cleveland, OH, 44135-2716",(216) 688-0680,Margaret M. Colwell,90.677,75.6,C,0,10.9,17.7,30.2,28.1,13,0,0,0,0,0,0,0,0,0,0,79.612,94.655,,,143479
143487,Constellation Schools: Stockyard Community Elementary,143487,Constellation Schools: Stockyard Community Elementary,Cuyahoga,Region 3,3200 W 65th St,"Cleveland, OH, 44102-5510",(216) 651-5143,Amber J. Steele,66.791,55.7,D,0,36.6,25.6,19.4,10.4,8,0,0,0,0,0,0,0,0,0,0,67.295,72.17,,,143487
143529,North Dayton School Of Science & Discovery,143529,North Dayton School Of Science & Discovery,Montgomery,Region 10,3901 Turner Rd,"Dayton, OH, 45415-3654",(937) 278-6671,Renaldo L. O'Neal,55.897,46.6,F,0,49.8,26,15.5,6.2,2.6,0,0,0,0,0,0,0,0,0,0,56.978,65.388,,,143529
143537,Virtual Community School Of Ohio,143537,Virtual Community School Of Ohio,Franklin,Region 11,6954 Americana Pkwy Ste B,"Reynoldsburg, OH, 43068-9707",(614) 501-9473,,63.859,53.2,D,0,39.3,25.7,20.8,12,2.2,0,0,0,0,0,0,0,0,0,0,60.285,53.735,,,143537
143552,Eagle Academy,143552,Eagle Academy,Lucas,Region 1,1430 Idaho St,"Toledo, OH, 43605-2743",(419) 697-2760,,43.281,36.1,F,2.2,67.5,18.9,8.8,1.9,0.6,0,0,0,0,0,0,0,0,0,0,46.5,59.564,,,143552
143560,Richard Allen Academy II,143560,Richard Allen Academy II,Montgomery,Region 10,184 Salem Ave,"Dayton, OH, 45406-5804",(937) 951-2800,Gabrielle P. Billingsley,64.103,53.4,D,0,37.4,28.9,19.6,9.9,4.2,0,0,0,0,0,0,0,0,0,0,65.883,76.932,,,143560
143578,Richard Allen Academy III,143578,Richard Allen Academy III,Butler,Region 10,1206 Shuler Ave,"Hamilton, OH, 45011-4566",(513) 795-6549,ERIN A. RAMSEY,72.044,60,D,0,29.3,24.9,26.5,13.8,5.5,0,0,0,0,0,0,0,0,0,0,67.833,77.448,,,143578
143602,Hamilton Cnty Math & Science,143602,Hamilton Cnty Math & Science,Hamilton,Region 13,2675 Civic Center Dr,"Cincinnati, OH, 45231-1311",(513) 728-8620,Dwan Moore,80.746,67.3,D,0,20.5,22.2,28.6,17.3,11.3,0,0,0,0,0,0,0,0,0,0,76.972,88.067,,,143602
143610,Arts & College Preparatory Academy,143610,Arts & College Preparatory Academy,Franklin,Region 11,4401 Hilton Corporate Dr,"Columbus, OH, 43232-4161",(614) 986-9974,Anthony J. Gatto,86.852,72.4,C,0,11.4,23.4,35.4,17.5,12.3,0,0,0,0,0,0,0,0,0,0,87.049,102.406,,,143610
143644,Sciotoville,143644,Sciotoville,Scioto,Region 15,224 Marshall St,"Portsmouth, OH, 45662-5549",(740) 776-6777,James N. Mahlmeister,73.276,61.1,D,0,26.5,26.5,28.2,13.1,5.6,0,0,0,0,0,0,0,0,0,0,65.621,74.28,,,143644
148916,Marion City Digital Academy,44339,Marion City,Marion,Region 7,360 Pennsylvania Ave,"Marion, OH, 43302-5530",(740) 223-4417,Richard J. Fogle,44.718,37.3,F,2.1,65.6,19.5,8.7,3.1,1,0,NC,NC,0,0,0,25,25,50,0,NC,NC,,,148916
149062,Urbana Community School,44941,Urbana City,Champaign,Region 6,711 Wood St,"Urbana, OH, 43078-1498",(937) 653-1402,Larry Nickels,56.111,46.8,F,0,47.2,27.8,22.2,2.8,0,0,0,0,0,0,0,0,0,0,0,NC,NC,,,149062
151035,Pleasant Community Digital,48421,Pleasant Local,Marion,Region 7,1107 Owens Rd W,"Marion, OH, 43302-8421",(740) 389-4476,,NC,NC,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,,151035
151142,Lorain K-12 Digital Academy,44263,Lorain City,Franklin,Region 2,401 Broadway Ave Suite 101,"Lorain, OH, 44052-0000",(440) 204-1095,Karen W. Mahan,61.6,51.3,D,0,34,38,24,2,2,0,0,0,0,0,0,0,0,0,0,59.492,62.951,,,151142
151167,Ridgedale Community School,48439,Ridgedale Local,Marion,Region 7,3103 Hillman Ford Rd,"Morral, OH, 43337-9302",(740) 382-6065,,50.909,42.4,F,0,54.5,27.3,18.2,0,0,0,NC,NC,0,0,100,0,0,0,0,53,63.4,,,151167
151175,West Central Learning Academy II,151175,West Central Learning Academy II,Allen,Region 6,522 W North St,"Lima, OH, 45801-4215",(419) 227-9252,,55.882,46.6,F,0,48.5,27.9,14.7,7.4,1.5,0,0,0,0,0,0,0,0,0,0,57.5,78.929,,,151175
