,Building Name,District Name,County,City and Zip Code,Performance Index Percent 2016-17,City,State,Zip Code,Code+4
0,Pathway School of Discovery,Pathway School of Discovery,Montgomery,"Dayton, OH, 45404-2123",66.2,Dayton, OH, 45404,2123
1,Alliance Academy of Cincinnati,Alliance Academy of Cincinnati,Hamilton,"Cincinnati, OH, 45207-1644",53.8,Cincinnati, OH, 45207,1644
2,Wildwood Environmental Academy,Wildwood Environmental Academy,Lucas,"Maumee, OH, 43537-1374",61.7,Maumee, OH, 43537,1374
3,"Ohio Connections Academy, Inc","Ohio Connections Academy, Inc",Cuyahoga,"Cleveland, OH, 44115-2229",64.7,Cleveland, OH, 44115,2229
4,Quaker Digital Academy,New Philadelphia City,Tuscarawas,"New Philadelphia, OH, 44663-2150",54.5,New Philadelphia, OH, 44663,2150
5,Summit Academy Community School-Columbus,Summit Academy Community School-Columbus,Franklin,"Columbus, OH, 43207-2712",46.7,Columbus, OH, 43207,2712
6,Summit Academy Community School - Dayton,Summit Academy Community School - Dayton,Montgomery,"Dayton, OH, 45414-3908",46.6,Dayton, OH, 45414,3908
7,Summit Academy Secondary - Akron,Summit Academy Secondary - Akron,Summit,"Akron, OH, 44320-1228",51.2,Akron, OH, 44320,1228
8,Summit Academy Secondary - Canton,Summit Academy Secondary - Canton,Stark,"Canton, OH, 44709-3613",38.1,Canton, OH, 44709,3613
9,Summit Academy Secondary - Lorain,Summit Academy Secondary - Lorain,Lorain,"Toledo, OH, 43604-2134",35.8,Toledo, OH, 43604,2134
10,Summit Academy Community School-Parma,Summit Academy Community School-Parma,Cuyahoga,"Parma, OH, 44130-1736",51.8,Parma, OH, 44130,1736
11,Summit Academy Secondary - Youngstown,Summit Academy Secondary - Youngstown,Mahoning,"Youngstown, OH, 44502-2770",36.6,Youngstown, OH, 44502,2770
12,Summit Academy Community School-Toledo,Summit Academy Community School-Toledo,Lucas,"Toledo, OH, 43609-2086",46.2,Toledo, OH, 43609,2086
13,Summit Academy Community School-Warren,Summit Academy Community School-Warren,Trumbull,"Warren, OH, 44484-5225",48.1,Warren, OH, 44484,5225
14,Summit Academy Community School - Cincinnati,Summit Academy Community School - Cincinnati,Hamilton,"Cincinnati, OH, 45237-3805",44.6,Cincinnati, OH, 45237,3805
15,Bridges Community Academy,Bridges Community Academy,Seneca,"Tiffin, OH, 44883-3475",46.5,Tiffin, OH, 44883,3475
16,Constellation Schools: Westpark Community Middle,Constellation Schools: Westpark Community Middle,Cuyahoga,"Parma, OH, 44134-1602",65.6,Parma, OH, 44134,1602
17,Menlo Park Academy,Cleveland Municipal,Cuyahoga,"Cleveland, OH, 44111-2263",88.7,Cleveland, OH, 44111,2263
18,Constellation Schools: Madison Community Elementary,Constellation Schools: Madison Community Elementary,Cuyahoga,"Cleveland, OH, 44102-3727",48.2,Cleveland, OH, 44102,3727
19,Constellation Schools: Lorain Community Middle,Constellation Schools: Lorain Community Middle,Lorain,"Parma, OH, 44134-1602",57.8,Parma, OH, 44134,1602
20,Constellation Schools: Old Brooklyn Community Middle,Constellation Schools: Old Brooklyn Community Middle,Cuyahoga,"Parma, OH, 44134-1602",67.9,Parma, OH, 44134,1602
21,Horizon Science Academy Toledo,Horizon Science Academy Toledo,Lucas,"Toledo, OH, 43613-4300",44.4,Toledo, OH, 43613,4300
22,Mansfield Elective Academy,Office of School Sponsorship,Franklin,"Mansfield, OH, 44906-2630",38.8,Mansfield, OH, 44906,2630
23,Buckeye On-Line School for Success,Buckeye On-Line School for Success,Columbiana,"East Liverpool, OH, 43920-3030",53.9,East Liverpool, OH, 43920,3030
24,Whitehall Preparatory and Fitness Academy,Whitehall Preparatory and Fitness Academy,Franklin,"Columbus, OH, 43227-2279",49.8,Columbus, OH, 43227,2279
25,Springfield Preparatory and Fitness Academy,Springfield Preparatory and Fitness Academy,Clark,"Springfield, OH, 45505-4245",57.1,Springfield, OH, 45505,4245
26,Northland Preparatory and Fitness Academy,Northland Preparatory and Fitness Academy,Franklin,"Columbus, OH, 43229-6603",45.2,Columbus, OH, 43229,6603
27,Constellation Schools: Puritas Community Middle,Constellation Schools: Puritas Community Middle,Cuyahoga,"Parma, OH, 44134-1602",64.9,Parma, OH, 44134,1602
28,Constellation Schools: Outreach Academy for Students with Di,Constellation Schools: Outreach Academy for Students with Di,Cuyahoga,"Cleveland, OH, 44111-6037",36.6,Cleveland, OH, 44111,6037
29,Pinnacle Academy,Pinnacle Academy,Cuyahoga,"Euclid, OH, 44123-3317",54.2,Euclid, OH, 44123,3317
30,Winterfield Venture Academy,Winterfield Venture Academy,Lucas,"Toledo, OH, 43615-6244",54.7,Toledo, OH, 43615,6244
31,"Columbus Humanities, Arts and Technology Academy","Columbus Humanities, Arts and Technology Academy",Franklin,"Columbus, OH, 43229-6322",56.8,Columbus, OH, 43229,6322
32,A+ Arts Academy,A+ Arts Academy,Franklin,"Columbus, OH, 43205-1543",46.9,Columbus, OH, 43205,1543
33,Columbus Arts & Technology Academy,Columbus Arts & Technology Academy,Franklin,"Columbus, OH, 43232-7210",68,Columbus, OH, 43232,7210
34,Columbus Preparatory Academy,Columbus Preparatory Academy,Franklin,"Columbus, OH, 43204-1653",96.3,Columbus, OH, 43204,1653
35,Orion Academy,Orion Academy,Hamilton,"Cincinnati, OH, 45214-1427",51.6,Cincinnati, OH, 45214,1427
36,Apex Academy,Apex Academy,Cuyahoga,"Cleveland, OH, 44112-2001",43.4,Cleveland, OH, 44112,2001
37,Hope Academy Northwest Campus,Hope Academy Northwest Campus,Cuyahoga,"Cleveland, OH, 44102-2301",52.5,Cleveland, OH, 44102,2301
38,King Academy Community School,King Academy Community School,Hamilton,"Cincinnati, OH, 45202-6990",66.4,Cincinnati, OH, 45202,6990
39,Emerson Academy,Emerson Academy,Montgomery,"Dayton, OH, 45410-1232",53.5,Dayton, OH, 45410,1232
40,Summit Academy Transition High School-Cincinnati,Summit Academy Transition High School-Cincinnati,Hamilton,"Cincinnati, OH, 45224-3029",41.3,Cincinnati, OH, 45224,3029
41,Summit Academy Middle School - Lorain,Summit Academy Middle School - Lorain,Lorain,"Lorain, OH, 44052-2106",41.2,Lorain, OH, 44052,2106
42,Summit Academy Middle School - Columbus,Summit Academy Middle School - Columbus,Franklin,"Columbus, OH, 43207-2712",37.6,Columbus, OH, 43207,2712
43,Heir Force Community School,Heir Force Community School,Allen,"Lima, OH, 45801-4006",59.1,Lima, OH, 45801,4006
44,Summit Academy Transition High School-Columbus,Summit Academy Transition High School-Columbus,Franklin,"Columbus, OH, 43207-2712",36.4,Columbus, OH, 43207,2712
45,Summit Academy Alternative LearnersWarren Middle & Secondary,Summit Academy Alternative LearnersWarren Middle & Secondary,Trumbull,"Warren, OH, 44485-1928",39.6,Warren, OH, 44485,1928
46,Summit Academy Transition High School Dayton,Summit Academy Transition High School Dayton,Montgomery,"Dayton, OH, 45415-3632",37,Dayton, OH, 45415,3632
47,Summit Academy-Youngstown,Summit Academy-Youngstown,Mahoning,"Youngstown, OH, 44509-2041",40.7,Youngstown, OH, 44509,2041
48,Summit Academy Community School - Painesville,Summit Academy Community School - Painesville,Lake,"Painesville, OH, 44077-4009",51.6,Painesville, OH, 44077,4009
49,Summit Academy Toledo Learning Center,Summit Academy Toledo Learning Center,Lucas,"Toledo, OH, 43614-1801",51.4,Toledo, OH, 43614,1801
50,Summit Academy Secondary School - Middletown,Summit Academy Secondary School - Middletown,Butler,"Middletown, OH, 45044-5375",44.7,Middletown, OH, 45044,5375
51,Rittman Academy,Office of School Sponsorship,Franklin,"Rittman, OH, 44270-1259",42,Rittman, OH, 44270,1259
52,New Day Academy Boarding & Day School,New Day Academy Boarding & Day School,Cuyahoga,"Mentor, OH, 44060-1917",42.3,Mentor, OH, 44060,1917
53,Oakstone Community School,Oakstone Community School,Franklin,"Columbus, OH, 43231-2831",69,Columbus, OH, 43231,2831
54,Zenith Academy,Zenith Academy,Franklin,"Blacklick, OH, 43004-8630",49.5,Blacklick, OH, 43004,8630
55,HBCU Preparatory School 1,HBCU Preparatory School 1,Cuyahoga,"Cleveland, OH, 44120-2041",65.5,Cleveland, OH, 44120,2041
57,"Maritime Academy of Toledo, The","Maritime Academy of Toledo, The",Lucas,"Toledo, OH, 43604-1831",47.1,Toledo, OH, 43604,1831
58,Educational Academy for Boys & Girls,North Central Ohio ESC,Seneca,"Columbus, OH, 43212-2843",57.9,Columbus, OH, 43212,2843
59,Midnimo Cross Cultural Community School,North Central Ohio ESC,Seneca,"Columbus, OH, 43212-2883",48.8,Columbus, OH, 43212,2883
60,Horizon Science Academy-Cincinnati,Horizon Science Academy-Cincinnati,Hamilton,"Cincinnati, OH, 45237-5005",44.5,Cincinnati, OH, 45237,5005
61,Horizon Science Academy-Dayton,Horizon Science Academy-Dayton,Montgomery,"Dayton, OH, 45415-0000",45.7,Dayton, OH, 45415,0000
62,Horizon Science Academy-Springfield,Horizon Science Academy-Springfield,Lucas,"Toledo, OH, 43615-6314",53,Toledo, OH, 43615,6314
63,Horizon Science Academy-Denison Middle School,Horizon Science Academy-Denison Middle School,Cuyahoga,"Cleveland, OH, 44109-2925",50.1,Cleveland, OH, 44109,2925
64,Bennett Venture Academy,Bennett Venture Academy,Lucas,"Toledo, OH, 43612-0000",59.8,Toledo, OH, 43612,0000
65,Stambaugh Charter Academy,Stambaugh Charter Academy,Mahoning,"Youngstown, OH, 44509-1306",64,Youngstown, OH, 44509,1306
66,Horizon Science Academy-Cleveland Middle School,Horizon Science Academy-Cleveland Middle School,Cuyahoga,"Cleveland, OH, 44103-1043",55.2,Cleveland, OH, 44103,1043
67,Westside Academy,Westside Academy,Franklin,"Columbus, OH, 43228-3439",66.6,Columbus, OH, 43228,3439
68,Cleveland Entrepreneurship Preparatory School,Cleveland Municipal,Cuyahoga,"Cleveland, OH, 44114-4116",62.6,Cleveland, OH, 44114,4116
69,East Bridge Academy of Excellence,East Bridge Academy of Excellence,Franklin,"Columbus, OH, 43232-3101",34.8,Columbus, OH, 43232,3101
70,Par Excellence Academy,Newark City,Licking,"Newark, OH, 43055-3906",74.7,Newark, OH, 43055,3906
71,Toledo Preparatory and Fitness Academy,Toledo Preparatory and Fitness Academy,Lucas,"Toledo, OH, 43607-2932",57,Toledo, OH, 43607,2932
72,Columbus Preparatory and Fitness Academy,Columbus Preparatory and Fitness Academy,Franklin,"Columbus, OH, 43204-7003",60.6,Columbus, OH, 43204,7003
73,Mt. Healthy Preparatory and Fitness Academy,Mt. Healthy Preparatory and Fitness Academy,Hamilton,"Cincinnati, OH, 45231-3107",53.2,Cincinnati, OH, 45231,3107
74,Youngstown Academy of Excellence,Youngstown Academy of Excellence,Mahoning,"Youngstown, OH, 44506-1617",50.2,Youngstown, OH, 44506,1617
75,Cleveland Arts and Social Sciences Academy,Cleveland Arts and Social Sciences Academy,Cuyahoga,"Cleveland, OH, 44104-3752",66.2,Cleveland, OH, 44104,3752
76,Charles School at Ohio Dominican University,Charles School at Ohio Dominican University,Franklin,"Columbus, OH, 43214-3158",59.8,Columbus, OH, 43214,3158
77,Lorain Preparatory Academy,Lorain Preparatory Academy,Lorain,"Lorain, OH, 44053-2341",55.3,Lorain, OH, 44053,2341
79,Noble Academy-Cleveland,Noble Academy-Cleveland,Cuyahoga,"Euclid, OH, 44117-1111",62,Euclid, OH, 44117,1111
80,Noble Academy-Columbus,Noble Academy-Columbus,Franklin,"Columbus, OH, 43220-2611",60.2,Columbus, OH, 43220,2611
81,South Scioto Academy,South Scioto Academy,Franklin,"Columbus, OH, 43207-2270",41.6,Columbus, OH, 43207,2270
82,Harvard Avenue Performance Academy,Harvard Avenue Performance Academy,Cuyahoga,"Cleveland, OH, 44105-5444",38.3,Cleveland, OH, 44105,5444
83,Groveport Community School,Groveport Community School,Franklin,"Groveport, OH, 43125-9334",59.5,Groveport, OH, 43125,9334
84,Columbus Collegiate Academy,Columbus Collegiate Academy,Franklin,"Columbus, OH, 43205-2152",59.1,Columbus, OH, 43205,2152
85,Northpointe Academy,Northpointe Academy,Lucas,"Toledo, OH, 43607-2564",37.7,Toledo, OH, 43607,2564
86,Constellation Schools: Westside Community School of the Arts,Constellation Schools: Westside Community School of the Arts,Cuyahoga,"Parma, OH, 44134-1602",58.8,Parma, OH, 44134,1602
87,Central Academy of Ohio,Central Academy of Ohio,Lucas,"Toledo, OH, 43606-3216",38.7,Toledo, OH, 43606,3216
88,Star Academy of Toledo,Star Academy of Toledo,Lucas,"Toledo, OH, 43614-1855",49.5,Toledo, OH, 43614,1855
89,Horizon Science Academy Columbus Middle School,Horizon Science Academy Columbus Middle School,Franklin,"Columbus, OH, 43229-5801",51.6,Columbus, OH, 43229,5801
90,Clay Avenue Community School,Clay Avenue Community School,Lucas,"Toledo, OH, 43608-2167",47.7,Toledo, OH, 43608,2167
91,Foundation Academy,Foundation Academy,Richland,"Mansfield, OH, 44906-1939",66.7,Mansfield, OH, 44906,1939
92,"Dayton Early College Academy, Inc","Dayton Early College Academy, Inc",Montgomery,"Dayton, OH, 45469-0001",71.2,Dayton, OH, 45469,0001
93,Sullivant Avenue Community School,Sullivant Avenue Community School,Franklin,"Columbus, OH, 43204-1103",49.6,Columbus, OH, 43204,1103
94,Harrisburg Pike Community School,Harrisburg Pike Community School,Franklin,"Columbus, OH, 43223-2100",45,Columbus, OH, 43223,2100
95,Madison Avenue School of Arts,Madison Avenue School of Arts,Lucas,"Toledo, OH, 43604-4433",50.7,Toledo, OH, 43604,4433
96,Klepinger Community School,Klepinger Community School,Montgomery,"Dayton, OH, 45416-1919",52.8,Dayton, OH, 45416,1919
97,Sciotoville Elementary Academy,Sciotoville Elementary Academy,Scioto,"Sciotoville, OH, 45662-5402",72.7,Sciotoville, OH, 45662,5402
98,Horizon Science Academy Elementary School,Horizon Science Academy Elementary School,Franklin,"Columbus, OH, 43231-6033",63.9,Columbus, OH, 43231,6033
99,KIPP Columbus,KIPP Columbus,Franklin,"Columbus, OH, 43224-4616",64,Columbus, OH, 43224,4616
100,Horizon Science Academy Denison Elementary School,Horizon Science Academy Denison Elementary School,Cuyahoga,"Cleveland, OH, 44113-4230",44.2,Cleveland, OH, 44113,4230
101,Cesar Chavez College Preparatory School,Cesar Chavez College Preparatory School,Franklin,"Columbus, OH, 43212-2883",63.8,Columbus, OH, 43212,2883
102,Mount Auburn International Academy,Mount Auburn International Academy,Hamilton,"Cincinnati, OH, 45219-3023",48.5,Cincinnati, OH, 45219,3023
103,Performance Academy Eastland,Performance Academy Eastland,Franklin,"Columbus, OH, 43232-4304",55.7,Columbus, OH, 43232,4304
104,L. Hollingworth School for Talented and Gifted,L. Hollingworth School for Talented and Gifted,Lucas,"Toledo, OH, 43605-2277",51.1,Toledo, OH, 43605,2277
105,Village Preparatory School,Cleveland Municipal,Cuyahoga,"Cleveland, OH, 44114-4116",67.2,Cleveland, OH, 44114,4116
106,Greater Summit County Early Learning Center,Office of School Sponsorship,Franklin,"Akron, OH, 44312-4221",89.4,Akron, OH, 44312,4221
107,Bella Academy of Excellence,Bella Academy of Excellence,Cuyahoga,"Cleveland, OH, 44119-3007",61.1,Cleveland, OH, 44119,3007
108,Renaissance Academy,Renaissance Academy,Franklin,"Columbus, OH, 43227-2347",43.4,Columbus, OH, 43227,2347
109,Columbus Bilingual Academy-North,Columbus Bilingual Academy-North,Franklin,"Columbus, OH, 43229-3051",56.9,Columbus, OH, 43229,3051
110,Lakeland Academy Community School,North Central Ohio ESC,Seneca,"Freeport, OH, 43973-9355",46.9,Freeport, OH, 43973,9355
111,Horizon Science Academy Lorain,Horizon Science Academy Lorain,Lorain,"Lorain, OH, 44052-5223",61.2,Lorain, OH, 44052,5223
112,Horizon Science Academy Dayton High School,Horizon Science Academy Dayton High School,Montgomery,"Dayton, OH, 45415-3517",42,Dayton, OH, 45415,3517
113,Northeast Ohio College Preparatory School,Cleveland Municipal,Cuyahoga,"Cleveland, OH, 44113-4467",50,Cleveland, OH, 44113,4467
115,The Richland School of Academic Arts,North Central Ohio ESC,Seneca,"Ontario, OH, 44906-2700",73.9,Ontario, OH, 44906,2700
116,Graham Expeditionary Middle School,Graham Expeditionary Middle School,Franklin,"Columbus, OH, 43214-3167",60.8,Columbus, OH, 43214,3167
117,Horizon Science Academy Dayton Downtown,Horizon Science Academy Dayton Downtown,Montgomery,"Dayton, OH, 45403-2127",54.5,Dayton, OH, 45403,2127
118,Horizon Science Academy Youngstown,Horizon Science Academy Youngstown,Mahoning,"Youngstown, OH, 44507-2044",45,Youngstown, OH, 44507,2044
119,Zenith Academy East,Zenith Academy East,Franklin,"Columbus, OH, 43232-4301",51.7,Columbus, OH, 43232,4301
120,Cleveland College Preparatory School,Cleveland Municipal,Cuyahoga,"Cleveland, OH, 44105-3328",52.8,Cleveland, OH, 44105,3328
121,Columbus Performance Academy,Columbus Performance Academy,Franklin,"Columbus, OH, 43219-7008",57.9,Columbus, OH, 43219,7008
122,Constellation Schools: Stockyard Community Middle,Constellation Schools: Stockyard Community Middle,Cuyahoga,"Parma, OH, 44134-1602",50.5,Parma, OH, 44134,1602
123,Constellation Schools: Collinwood Village Academy,Constellation Schools: Collinwood Village Academy,Cuyahoga,"Parma, OH, 44134-1602",61.1,Parma, OH, 44134,1602
124,Citizens Leadership Academy,Cleveland Municipal,Cuyahoga,"Cleveland, OH, 44106-4124",63.1,Cleveland, OH, 44106,4124
125,Near West Intergenerational School,Cleveland Municipal,Cuyahoga,"Cleveland, OH, 44113-2847",74.6,Cleveland, OH, 44113,2847
126,Entrepreneurship Preparatory School - Woodland Hills Campus,Cleveland Municipal,Cuyahoga,"Cleveland, OH, 44105-1627",53.3,Cleveland, OH, 44105,1627
127,Foxfire Intermediate School,Maysville Local,Muskingum,"Zanesville, OH, 43701-8593",85.4,Zanesville, OH, 43701,8593
128,Patriot Preparatory Academy,Patriot Preparatory Academy,Franklin,"Columbus, OH, 43227-2113",61.2,Columbus, OH, 43227,2113
129,North Central Academy,North Central Ohio ESC,Seneca,"Tiffin, OH, 44883-2529",46.6,Tiffin, OH, 44883,2529
